Country_New,"Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)",Gini index (World Bank estimate),Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),2015-2010 change survival between 30-70,2015-2010 change adolescent birth rate,2015-2010 change basic sanitation,2015-2010 change clean fuels,classification
Iceland,0.0,0.0,0.0,0.6000000000000014,-0.1,-0.2,-0.1,-0.5,-5.0,0.0,0.0,1
India,-0.5830307006840059,10.678260803222592,8.9633903503418,0.0,0.0,0.0,0.0,-0.6999999999999993,-26.1,12.880000000000003,8.0,2
Indonesia,-2.8035583496090055,9.301887512207102,0.055269241332997154,3.3000000000000043,-7.500000000000001,-14.5,-11.200000000000003,-0.5,0.0,9.379999999999995,26.0,1
Iran,3.1541213989249712,7.212188720703097,29.27556991577149,0.0,0.0,0.0,0.0,-2.9000000000000004,0.0,0.30000000000001137,0.0,2
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8999999999999986,0.0,8.299999999999997,0.0,1
Ireland,-5.361480712890014,4.019309997558992,20.7233657836914,-0.49999999999999645,-0.2,-0.4,-0.7,-0.6999999999999993,-6.0,0.5,0.0,2
Israel,0.5278015136720029,0.4229736328129974,0.0,0.0,0.0,0.0,0.0,-0.40000000000000036,0.0,0.0,0.0,1
Italy,-1.105850219727003,0.6897583007810084,-3.7082061767578054,0.6999999999999957,0.5999999999999999,0.8999999999999999,0.8999999999999999,-0.5,-1.6000000000000005,0.0,0.0,1
Ivoire,0.0,0.0,1.0860996246337802,0.0,0.0,0.0,0.0,0.6999999999999993,-5.700000000000003,3.7300000000000004,6.0,1
Jamaica,0.0,-10.71788787841811,0.04560089111329546,0.0,0.0,0.0,0.0,-0.5,-15.299999999999997,1.9099999999999966,-1.0,1
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9000000000000004,-0.40000000000000036,-0.04000000000000625,0.0,1
